school_id,school_name,district,city,county,enrollment,tract,chronic_disease_prev,hpsa_primary_care_max,respiratory_activity,score_hpsa,score_chronic,score_air_q,score_hazard,score_respiratory,readiness_score
120310000001,Robert E. Lee High School,Duval County School District,Jacksonville,Duval,1800,12031015400.0,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310000002,Douglas Anderson School of the Arts,Duval County School District,Jacksonville,Duval,1200,12031000600.0,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310000003,Paxon School for Advanced Studies,Duval County School District,Jacksonville,Duval,1400,12031011800.0,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310000004,Stanton College Preparatory School,Duval County School District,Jacksonville,Duval,1600,12031001500.0,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310000005,Andrew Jackson High School,Duval County School District,Jacksonville,Duval,1500,12031015002.0,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310000006,Fletcher High School,Duval County School District,Neptune Beach,Duval,2000,12031014001.0,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310000007,Mandarin High School,Duval County School District,Jacksonville,Duval,2200,12031016810.0,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310000008,Sandalwood High School,Duval County School District,Jacksonville,Duval,2400,12031014312.0,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310000009,Englewood High School,Duval County School District,Jacksonville,Duval,1300,12031016102.0,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310000010,Raines High School,Duval County School District,Jacksonville,Duval,950,12031011400.0,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310000011,Westside High School,Duval County School District,Jacksonville,Duval,1700,12031013523.0,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310000012,First Coast High School,Duval County School District,Jacksonville,Duval,2100,12031010204.0,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310000013,Ribault High School,Duval County School District,Jacksonville,Duval,1100,12031011300.0,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310000014,Atlantic Coast High School,Duval County School District,Jacksonville,Duval,1900,12031013302.0,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310000015,Terry Parker High School,Duval County School District,Jacksonville,Duval,1650,,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310000016,Wolfson High School,Duval County School District,Jacksonville,Duval,1400,12031016606.0,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310000017,Ed White High School,Duval County School District,Jacksonville,Duval,1550,,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310000018,Samuel W. Wolfson High School,Duval County School District,Jacksonville,Duval,1200,12031016606.0,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310000019,Baldwin Middle-Senior High School,Duval County School District,Baldwin,Duval,800,,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310000020,Lavilla School of the Arts,Duval County School District,Jacksonville,Duval,650,12031001600.0,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310000021,Darnell-Cookman School of the Medical Arts,Duval County School District,Jacksonville,Duval,700,12031001600.0,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310000022,Landon Middle School,Duval County School District,Jacksonville,Duval,900,12031016101.0,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310000023,Southside Middle School,Duval County School District,Jacksonville,Duval,850,12031002102.0,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310000024,Kirby-Smith Middle School,Duval County School District,Jacksonville,Duval,780,,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310000025,Lake Shore Middle School,Duval County School District,Jacksonville,Duval,920,,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001005,Holiday Hill Elementary School,Duval County School District,Jacksonville,Duval,510,12031015803.0,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001007,Arlington Heights Elementary School,Duval County School District,Jacksonville,Duval,530,12031015200.0,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001004,Highlands Elementary School,Duval County School District,Jacksonville,Duval,480,12031010306.0,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001012,Pinedale Elementary School,Duval County School District,Jacksonville,Duval,470,12031012602.0,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001009,Duncan U. Fletcher Elementary,Duval County School District,Neptune Beach,Duval,480,12031014001.0,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001010,Beauclerc Elementary School,Duval County School District,Jacksonville,Duval,520,12031016711.0,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001011,Greenland Pines Elementary School,Duval County School District,Jacksonville,Duval,590,,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001014,Timucuan Elementary School,Duval County School District,Jacksonville,Duval,550,,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001013,Gregory Drive Elementary School,Duval County School District,Jacksonville,Duval,500,,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001015,Abess Park Elementary School,Duval County School District,Jacksonville,Duval,460,12031013100.0,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001008,Lone Star Elementary School,Duval County School District,Jacksonville,Duval,560,12031015100.0,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001002,San Jose Elementary School,Duval County School District,Jacksonville,Duval,580,12031000800.0,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001003,Love Grove Elementary School,Duval County School District,Jacksonville,Duval,520,,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001001,Fishweir Elementary School,Duval County School District,Jacksonville,Duval,650,12031002300.0,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001006,Hendricks Avenue Elementary School,Duval County School District,Jacksonville,Duval,490,12031016400.0,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001027,West Riverside Elementary School,Duval County School District,Jacksonville,Duval,410,,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001026,Ramona Boulevard Elementary School,Duval County School District,Jacksonville,Duval,480,,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001025,Annie R. Morgan Elementary School,Duval County School District,Jacksonville,Duval,450,12031001500.0,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001024,Loretto Elementary School,Duval County School District,Jacksonville,Duval,420,12031002501.0,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001023,Venetia Elementary School,Duval County School District,Jacksonville,Duval,510,,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001021,Greenfield Elementary School,Duval County School District,Jacksonville,Duval,540,,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001022,Southside Estates Elementary School,Duval County School District,Jacksonville,Duval,490,12031016400.0,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001020,Chet's Creek Elementary School,Duval County School District,Jacksonville,Duval,580,12031016730.0,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001019,Chaffee Trail Elementary School,Duval County School District,Jacksonville,Duval,620,,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001018,Brookview Elementary School,Duval County School District,Jacksonville,Duval,490,,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001017,Brentwood Elementary School,Duval County School District,Jacksonville,Duval,440,12031015002.0,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001016,Mayport Elementary School,Duval County School District,Jacksonville,Duval,380,12031013904.0,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120310001028,Lackawanna Alternative Education Center,Duval County School District,Jacksonville,Duval,320,,,23,Minimal,27.6,0.0,0.0,0.0,2.0,29.6
120030000004,J. Franklin Keller Elementary,Baker County School District,Macclenny,Baker,420,12003040102.0,,17,Minimal,20.4,0.0,0.0,0.0,2.0,22.4
